group2,group3,totbal,newtotbal,balchange
treatment,treatment,173.39,100,-73.38999938964844
treatment,treatment,234.61,154.61,-80
control,control,106.67,0,-106.66999816894531
treatment,treatment,0,0,0
control,marketing,726.23,20117.65,19391.419921875
control,marketing,1164.01,1010.96,-153.0500030517578
treatment,treatment,1101.02,1032.37,-68.6500015258789
treatment,treatment,500,500,0
treatment,treatment,500,500,0
treatment,treatment,500,500,0
control,control,306.58,6.58,-300
treatment,treatment,0,0,0
treatment,treatment,0,0,0
control,control,1635.07,881.28,-753.78997802734375
treatment,treatment,114.31,0,-114.30999755859375
control,marketing,703.36,500,-203.36000061035156
treatment,treatment,133.66,191.16,57.5
treatment,treatment,2182.23,861.64,-1320.5899658203125
control,marketing,1020.48,935.92,-84.55999755859375
treatment,treatment,502.4,434.4,-68
control,marketing,516.06,500,-16.059999465942383
control,marketing,752.28,752.28,0
control,control,638.03,852.35,214.32000732421875
control,marketing,0,0,0
control,marketing,0,0,0
control,control,131.68,131.68,0
treatment,treatment,770.74,770.74,0
control,control,1393.06,0,-1393.06005859375
treatment,treatment,846.77,705.01,-141.75999450683594
control,marketing,144.17,203,58.83000183105469
control,control,272.33,0,-272.3299865722656
treatment,treatment,0,0,0
control,control,0,0,0
treatment,treatment,0,100,100
control,marketing,846.36,625.92,-220.44000244140625
control,control,0,0,0
control,marketing,96.48,0,-96.4800033569336
control,marketing,0,0,0
control,control,619.19,500,-119.19000244140625
control,marketing,113.93,0,-113.93000030517578
treatment,treatment,632.62,500,-132.6199951171875
treatment,treatment,109.17,0,-109.16999816894531
treatment,treatment,431.08,131.08,-300
control,marketing,923.62,747.53,-176.08999633789062
treatment,treatment,0,0,0
control,control,1500,1500,0
treatment,treatment,0,0,0
control,marketing,715.8,323.18,-392.6199951171875
treatment,treatment,0,0,0
treatment,treatment,676.67,2063.83,1387.1600341796875
treatment,treatment,0,0,0
control,control,135.24,0,-135.24000549316406
control,control,631.99,611.99,-20
control,marketing,0,0,0
treatment,treatment,1267.44,967.44,-300
treatment,treatment,525.64,100,-425.6400146484375
control,control,149.13,69.13,-80
treatment,treatment,1429.5,1129.5,-300
control,marketing,0,0,0
control,control,0,0,0
control,marketing,0,0,0
treatment,treatment,40.39,0,-40.38999938964844
treatment,treatment,31.8,255.8,224
treatment,treatment,272.3,1631.68,1359.3800048828125
control,control,325.88,433.28,107.4000015258789
treatment,treatment,516.23,129.21,-387.0199890136719
control,marketing,524.12,500,-24.1200008392334
control,control,500,500,0
treatment,treatment,611.19,591.19,-20
treatment,treatment,500,0,-500
control,marketing,1104.71,2347.22,1242.510009765625
treatment,treatment,1001.3,446,-555.29998779296875
treatment,treatment,0,0,0
control,control,0,0,0
treatment,treatment,500,500,0
control,control,0,0,0
treatment,treatment,0,0,0
control,marketing,105.76,0,-105.76000213623047
treatment,treatment,0,100,100
treatment,treatment,0,0,0
treatment,treatment,0,0,0
control,control,618.81,1135.4,516.59002685546875
treatment,treatment,822.25,2409.8,1587.550048828125
control,marketing,307.03,228.48,-78.55000305175781
treatment,treatment,0,0,0
control,marketing,315.47,402,86.529998779296875
control,control,1020.92,500,-520.91998291015625
control,marketing,1379.53,1207.81,-171.72000122070312
treatment,treatment,0,0,0
control,marketing,0,0,0
control,control,500,500,0
treatment,treatment,609.94,549.94,-60
treatment,treatment,113.23,0,-113.2300033569336
treatment,treatment,649.06,372.53,-276.5299987792969
treatment,treatment,500,500,0
control,marketing,157.65,0,-157.64999389648438
treatment,treatment,0,0,0
treatment,treatment,500,500,0
control,control,500,500,0
treatment,treatment,1211.1,7053.03,5841.93017578125
control,marketing,1082.39,782.39,-300
control,marketing,870.66,1604.11,733.45001220703125
treatment,treatment,0,0,0
treatment,treatment,500,500,0
treatment,treatment,112.97,12.97,-100
control,control,529.38,8214.5,7685.1201171875
treatment,treatment,240.39,513.11,272.7200012207031
control,control,500,500,0
control,marketing,0,0,0
control,marketing,153.76,193.76,40
control,control,454.97,354.97,-100
treatment,treatment,1427.94,1952.71,524.77001953125
control,control,140.96,0,-140.9600067138672
control,control,122.57,0,-122.56999969482422
control,control,520.85,436.31,-84.54000091552734
treatment,treatment,618.81,618.81,0
treatment,treatment,0,0,0
treatment,treatment,100,100,0
treatment,treatment,1255.99,368.06,-887.92999267578125
treatment,treatment,153.85,0,-153.85000610351562
control,control,500,500,0
control,marketing,0,0,0
treatment,treatment,601.79,704.06,102.2699966430664
control,control,911.3,3028.2,2116.89990234375
treatment,treatment,1385.66,1085.66,-300
control,control,0,0,0
treatment,treatment,922.01,1361.47,439.4599914550781
control,marketing,141.56,21.56,-120
control,control,2136.52,136.52,-2000
treatment,treatment,167.4,767.4,600
control,control,279.95,119.28,-160.6699981689453
control,control,500,500,0
control,marketing,1216.61,987.45,-229.16000366210938
treatment,treatment,1064.54,0,-1064.5400390625
control,marketing,144.17,0,-144.1699981689453
treatment,treatment,287.18,0,-287.17999267578125
treatment,treatment,216.16,0,-216.16000366210938
treatment,treatment,1325.51,1025.51,-300
control,marketing,1018.57,955.4,-63.16999816894531
treatment,treatment,713.06,653.06,-60
treatment,treatment,14.92,0,-14.920000076293945
control,marketing,116.98,116.98,0
control,control,589.12,307.09,-282.0299987792969
treatment,treatment,843.38,643.38,-200
treatment,treatment,598.13,298.13,-300
control,marketing,1226.61,1016.39,-210.22000122070312
control,marketing,500,500,0
control,marketing,125.55,0,-125.55000305175781
control,marketing,132.42,0,-132.4199981689453
treatment,treatment,1041.17,764.07,-277.1000061035156
control,marketing,1019.13,955.98,-63.150001525878906
treatment,treatment,0,0,0
control,control,1024.44,724.44,-300
treatment,treatment,90.87,0,-90.87000274658203
treatment,treatment,1062.11,947.93,-114.18000030517578
control,control,4.1,1056.65,1052.550048828125
treatment,treatment,500,100,-400
treatment,treatment,647.9,500,-147.89999389648438
treatment,treatment,387.35,247.35,-140
treatment,treatment,1200.76,1229.29,28.530000686645508
treatment,treatment,0,0,0
treatment,treatment,54.84,0,-54.84000015258789
treatment,treatment,1041.95,0,-1041.949951171875
control,marketing,152.4,50.99,-101.41000366210938
control,marketing,432.1,547.16,115.05999755859375
control,control,0,0,0
control,control,1000.87,700.87,-300
treatment,treatment,125.53,125.53,0
control,control,131.54,203.85,72.30999755859375
control,marketing,88.45,0,-88.44999694824219
treatment,treatment,699.73,519.73,-180
treatment,treatment,191.95,191.95,0
control,control,210.98,410.98,200
control,marketing,0,0,0
control,marketing,601.73,303.31,-298.4200134277344
control,control,0,0,0
control,control,0,0,0
treatment,treatment,0,0,0
control,control,193.13,193.13,0
treatment,treatment,500,500,0
treatment,treatment,715.84,215.84,-500
control,marketing,116.04,0,-116.04000091552734
control,marketing,105.81,0,-105.80999755859375
treatment,treatment,750.57,266.07,-484.5
treatment,treatment,108.02,2114.84,2006.8199462890625
treatment,treatment,851.83,711.83,-140
treatment,treatment,1545.97,672.59,-873.3800048828125
control,control,1552.8,1252.8,-300
control,marketing,178.78,0,-178.77999877929688
control,marketing,0,0,0
treatment,treatment,542.76,244.18,-298.5799865722656
control,control,538.24,500,-38.2400016784668
control,marketing,0,0,0
treatment,treatment,0,0,0
control,control,500,500,0
treatment,treatment,206.24,703.94,497.70001220703125
control,control,519.08,219.08,-300
control,marketing,519.62,4948.41,4428.7900390625
treatment,treatment,1723.66,3580.51,1856.8499755859375
treatment,treatment,152.7,255.44,102.73999786376953
control,control,0,266.5,266.5
control,marketing,580.99,136.3,-444.69000244140625
control,marketing,611.9,31.9,-580
control,control,0,0,0
control,control,0,0,0
treatment,treatment,528.01,326.05,-201.9600067138672
treatment,treatment,107.13,0,-107.12999725341797
treatment,treatment,0,0,0
control,control,653.21,653.21,0
treatment,treatment,1637.9,1437.9,-200
control,marketing,287.51,287.51,0
control,control,517.84,0,-517.84002685546875
control,marketing,717.11,240.71,-476.3999938964844
control,control,2114.25,0,-2114.25
treatment,treatment,608.85,124.54,-484.30999755859375
treatment,treatment,697.03,500,-197.02999877929688
treatment,treatment,500,2207.62,1707.6199951171875
control,marketing,277.17,0,-277.1700134277344
control,marketing,160.27,0,-160.27000427246094
treatment,treatment,500,500,0
treatment,treatment,153.66,0,-153.66000366210938
treatment,treatment,667.63,605.1,-62.529998779296875
control,marketing,1026.15,0,-1026.1500244140625
control,control,500,500,0
treatment,treatment,0,133.38,133.3800048828125
control,control,505.26,500,-5.260000228881836
control,marketing,659.38,500,-159.3800048828125
treatment,treatment,359.58,359.58,0
control,marketing,419.29,119.29,-300
treatment,treatment,0,0,0
treatment,treatment,1781.66,2859.9,1078.239990234375
treatment,treatment,141.98,141.98,0
treatment,treatment,1847.45,1192.56,-654.8900146484375
treatment,treatment,132.06,211.05,78.98999786376953
treatment,treatment,106.22,0,-106.22000122070312
control,marketing,0,0,0
control,marketing,500,0,-500
treatment,treatment,442.59,328.85,-113.73999786376953
treatment,treatment,559.39,1789.83,1230.43994140625
treatment,treatment,500,100,-400
control,marketing,1233.9,741.71,-492.19000244140625
control,marketing,500,500,0
treatment,treatment,272.6,292.6,20
treatment,treatment,518.99,0,-518.989990234375
control,marketing,0,0,0
control,control,0,0,0
control,marketing,106.02,1506.02,1400
control,control,622.85,542.85,-80
control,marketing,500,500,0
treatment,treatment,121.49,41.49,-80
treatment,treatment,0,0,0
control,marketing,768.54,629.71,-138.8300018310547
treatment,treatment,655.13,1526,870.8699951171875
treatment,treatment,126,114.32,-11.680000305175781
treatment,treatment,0,0,0
control,marketing,500,500,0
control,marketing,56.31,0,-56.310001373291016
treatment,treatment,500,0,-500
treatment,treatment,500,500,0
control,control,1000,1000,0
treatment,treatment,286.49,252.2,-34.290000915527344
control,marketing,1019.33,956.19,-63.13999938964844
control,control,0,0,0
treatment,treatment,500,500,0
control,control,0,0,0
control,control,500,500,0
control,marketing,430.7,130.7,-300
control,marketing,500,500,0
control,control,500,0,-500
control,control,24.17,0,-24.170000076293945
treatment,treatment,568.25,716,147.75
treatment,treatment,401.95,0,-401.95001220703125
control,marketing,1065.61,810.12,-255.49000549316406
control,marketing,58.1,0,-58.099998474121094
treatment,treatment,0,0,0
